Column2,Name,lastname,firstname,Prof,Entry,Size,P1,P2,P3
nm6549376,Azhagappan A. L.,A. L.,Azhagappan,actor,2000,0,actor,,
nm1777967,Vijay A. L.,A. L.,Vijay,director/other,2000,0,director,other,
nm1436693,Murugadoss A.R.,A.R.,Murugadoss,director/producer/other,2001,0,director,producer,other
nm2243737,Krishna Abhishek,Abhishek,Krishna,actor,2002,0,actor,,
nf7720308,Balwantrao Abhisheki,Abhisheki,Balwantrao,music,1942,0,music,,
nm7720308,Jitendra Abhisheki,Abhisheki,Jitendra,music,1960,0,music,,
nf7720307,s/Balwantrao Abhisheki,Abhisheki,s/Balwantrao,music,1942,0,music,,
nf7720309,Shounak Abhisheki,Abhisheki,Shounak,music,2004,0,music,,
nm1027679,B. K. Adarsh,Adarsh,B. K.,director/producer/other,1955,0,director,producer,other 
nm2104913,Taran Adarsh,Adarsh,Taran,other,2000,0,other,,
nm8240901,Niranjani Agathiyan,Agathiyan,Niranjani,other,2014,0,other,,
nm3164334,Vijayalakshmi Agathiyan,Agathiyan,Vijayalakshmi,actor,2007,0,actor,,
nm2655625,Alvira Khan Agnihotri,Agnihotri,Alvira Khan,producer/other,2006,0,producer,other,
nm0013158,Atul Agnihotri,Agnihotri,Atul,producer/director/actor,1983,0,producer,director,actor
nm0013159,Rati Agnihotri,Agnihotri,Rati,actor,1979,0,actor,,
nm0038020,Arun Ahuja,Ahuja,Arun,actor,1936,0,actor,,
nm0332871,Govinda Ahuja,Ahuja,Govinda,actor,1986,0,actor,,
nm0222469,Nirmala Ahuja,Ahuja,Nirmala,music/actor,1954,0,music,actor,
nm7418890,Tina Ahuja,Ahuja,Tina,actor/other,2015,0,actor,other,
nm1027719,Farhan Akhtar,Akhtar,Farhan,director,2004,0,director,,
nm0015286,Jan Nissar Akhtar,Akhtar,Jan Nissar,music/other,1953,0,music,other,
nm0015287,Javed Akhtar,Akhtar,Javed,music/other,1969,0,music,other,
nm3473452,Mohsin Akhtar,Akhtar,Mohsin,actor/producer,2007,0,actor,producer,
nm0015293,Sardar Akhtar,Akhtar,Sardar,actor/music,1932,0,actor,music,
nm0015295,Zoya Akhtar,Akhtar,Zoya,other/director,1998,0,other,director,
nm1366335,Akhil Akkineni,Akkineni,Akhil,actor/producer,1995,0,actor,producer,
nm0023839,Amala Akkineni,Akkineni,Amala,actor/other,1986,0,actor,other,
nm0015458,Annapurna Akkineni,Akkineni,Annapurna,producer,1979,0,producer,,
nm3602118,Naga Chaitanya Akkineni,Akkineni,Naga Chaitanya,actor,2009,0,actor,,
nm0015459,Nagarjuna Akkineni,Akkineni,Nagarjuna,"actor,producer,television pr",1986,0,"actor,producer,television pr",,
nm0004463,Nageshwara Rao Akkineni,Akkineni,Nageshwara Rao,"actor,producer",1941,0,"actor,producer",,
nm3606487,Samantha Akkineni,Akkineni,Samantha,actor,2010,0,actor,,
nf0004463,Satyavathi Akkineni,Akkineni,Satyavathi,relative,1999,0,,,
nf0576455,(Baby) Ginny Ali,Ali,(Baby) Ginny,actor,1976,0,actor,,
nm0019402,Anwar Ali,Ali,Anwar,other/actor,1972,0,other,actor,
nm0004699,Lucky Ali,Ali,Lucky,music/actor,1961,0,music,actor,
nm5934356,Macky Ali,Ali,Macky,actor,1974,0,actor,,
nf0576454,Madhu Ali,Ali,Madhu,relative,1943,0,relative,,
nm0576454,Mehmood Ali,Ali,Mehmood,actor/producer,1943,0,actor,producer,
nm0019462,Mumtaz Ali,Ali,Mumtaz,actor/other,1937,0,actor,other,
nf0080322,Poornima Ali,Ali,Poornima,actor,1949,0,actor,,
nm1815193,Pucky Ali,Ali,Pucky,actor,1979,0,actor,,
nf0080321,Shirin Ali,Ali,Shirin,relative,1949,0,relative,,
nm5934357,Tracy Ali,Ali,Tracy,actor,1978,0,actor,,
nm0023868,Zeenat Aman,Aman,Zeenat,actor,1970,0,actor,,
nm8562373,Anil Ambani,Ambani,Anil,producer,1994,0,producer,,
nm0612870,Tina Ambani,Ambani,Tina,actor,1978,0,actor,,
nm10411840,Abishek Ambareesh,Ambareesh,Abishek,actor,2019,0,actor,,
nm6235678,Bilal Amrohi,Amrohi,Bilal,actor/producer,1990,0,actor,producer,
nm0025399,Kamal Amrohi,Amrohi,Kamal,director/other,1938,0,director,other,
nm4141638,Mashhoor Amrohi,Amrohi,Mashhoor,actor/director,1990,0,actor,director,
nm2173354,Tajdar Amrohi,Amrohi,Tajdar,director/actor,1983,0,director,actor,
nf0451261,Tajdar's wife Amrohi,Amrohi,Tajdar's wife,relative,1983,0,relative,,
nm1027791,Bittu Anand,Anand,Bittu,producer,1965,0,producer,,
nm0025608,Chetan Anand,Anand,Chetan,director,1946,0,director,,
nm0007147,Dev Anand,Anand,Dev,actor,1946,0,actor,,
nm0025613,Inder Raj Anand,Anand,Inder Raj,writer,1948,0,writer,,
nf0025613,Inder Raj's brother Anand,Anand,Inder Raj's brother,relative,1948,0,relative,,
nm0025617,Ketan Anand,Anand,Ketan,director,1986,0,director,,
nm0002172,Mukul Anand,Anand,Mukul,director,1983,0,director,,
nf0332872,Pushpa Anand,Anand,Pushpa,relative,1994,0,relative,,
nm9913465,Ravi Anand,Anand,Ravi,music,1994,0,music,,
nm1893457,Siddharth Anand,Anand,Siddharth,director,1982,0,director,,
nm0025627,Tinnu Anand,Anand,Tinnu,actor/director,1965,0,actor,director,
nm0025628,Uma Anand,Anand,Uma,actor,1946,0,actor,,
nm0025629,Vijay Anand,Anand,Vijay,director/producer/actor,1954,0,director,producer,actor
nm0025631,Vinay Anand,Anand,Vinay,actor,1999,0,actor,,
nm3118945,Sushanth Anumolu,Anumolu,Sushanth,actor/director/other,2008,0,actor,director,other
nm1147677,Amrita Arora,Arora,Amrita,actor,1999,0,actor,,
nm0037019,Malaika Arora,Arora,Malaika,actor,1994,0,actor,,
nm0039339,K. Asif,Asif,K.,director/producer/other,1945,0,director,producer,other
nm1201873,Neelima Azim,Azim,Neelima,actor,1989,0,actor,,
nm0044337,Baba Azmi,Azmi,Baba,other,1975,0,other,,
nm0000818,Shabana Azmi,Azmi,Shabana,actor,1974,0,actor,,
nm0044343,Tanvi Azmi,Azmi,Tanvi,actor,1985,0,actor,,
nm1191646,Arya Babbar,Babbar,Arya,actor,2002,0,actor,,
nm1318320,Juhi Babbar,Babbar,Juhi,actor,2003,0,actor,,
nm1318321,Nadira Babbar,Babbar,Nadira,actor,2003,0,actor,,
nm3070408,Prateik Babbar,Babbar,Prateik,actor,2008,0,actor,,
nm0044796,Raj Babbar,Babbar,Raj,actor,1978,0,actor,,
nm0787748,Shalini Babu,Babu,Shalini,actor,1983,0,actor,,
nm0045393,Abhishek Bachchan,Bachchan,Abhishek,actor,2000,4,actor,,
nm0706787,Aishwarya Rai Bachchan,Bachchan,Aishwarya Rai,actor,1997,1,actor,,
nf0000822,Ajitabh Bachchan,Bachchan,Ajitabh,relative,1987,3,relative,,
nm0000821,Amitabh Bachchan,Bachchan,Amitabh,actor/producer,1969,4,actor,producer,
nm0045394,Harivansh Rai Bachchan,Bachchan,Harivansh Rai,other,1971,2,other,,
nm0080149,Jaya Bachchan,Bachchan,Jaya,actor/other,1963,3,actor,other,
nf0000823,Naina Bachchan,Bachchan,Naina,relative,1969,2,relative,,
